Level3	G5R2_MAIN_09MAY2016_LD1	G5R4_NF_09MAY2016_LD1	G5R1_NF_09MAY2016_LD1	G5R2_NF_09MAY2016_LD1	G5R4_MAIN_09MAY2016_LD1	G5R1_MAIN_09MAY2016_LD1	G5R3_NF_09MAY2016_LD1	G6R1_MAIN_09MAY2016_LD1	G5R3_MAIN_09MAY2016_LD1	G6R3_MAIN_09MAY2016_LD1	G6R1_NF_09MAY2016_LD1	G6R2_MAIN_09MAY2016_LD1	G6R4_NF_09MAY2016_LD1	G6R2_NF_09MAY2016_LD1	G6R4_MAIN_09MAY2016_LD1	G6R3_NF_09MAY2016_LD1	G6R1_MAIN_31MAY2016_LD1	G5R1_MAIN_31MAY2016_LD1	G5R4_MAIN_31MAY2016_LD1	G5R4_NF_31MAY2016_LD1	G5R2_MAIN_31MAY2016_LD1	G5R1_NF_31MAY2016_LD1	G5R2_NF_31MAY2016_LD1	G5R3_NF_31MAY2016_LD1	G6R2_NF_31MAY2016_LD1	G6R3_MAIN_31MAY2016_LD1	G6R1_NF_31MAY2016_LD1	G6R4_MAIN_31MAY2016_LD1	G6R2_MAIN_31MAY2016_LD1	G6R4_NF_31MAY2016_LD1	G5R3_MAIN_31MAY2016_LD1	G6R3_NF_31MAY2016_LD1	G6R3_NF_20JUN2016_LD1	G6R3_MAIN_20JUN2016_LD1	G6R4_NF_20JUN2016_LD1	G6R2_MAIN_20JUN2016_LD1	G6R4_MAIN_20JUN2016_LD1	G6R2_NF_20JUN2016_LD1	G6R1_MAIN_20JUN2016_LD1	G5R4_NF_20JUN2016_LD1	G5R4_MAIN_20JUN2016_LD1	G5R3_NF_20JUN2016_LD1	G5R1_MAIN_20JUN2016_LD1	G5R3_MAIN_20JUN2016_LD1	G5R2_NF_20JUN2016_LD1	G5R2_MAIN_20JUN2016_LD1	G6R1_NF_20JUN2016_LD1	G5R1_NF_20JUN2016_LD1	G5R4_NF_12JUL2016_LD1	G5R2_NF_12JUL2016_LD1	G5R2_MAIN_12JUL2016_LD1	G5R1_MAIN_12JUL2016_LD1	G5R4_MAIN_12JUL2016_LD1	G5R3_NF_12JUL2016_LD1	G5R1_NF_12JUL2016_LD1	G6R2_NF_12JUL2016_LD1	G6R4_NF_12JUL2016_LD1	G6R4_MAIN_12JUL2016_LD1	G6R1_NF_12JUL2016_LD1	G6R1_MAIN_12JUL2016_LD1	G6R3_MAIN_12JUL2016_LD1	G6R3_NF_12JUL2016_LD1	G5R3_MAIN_12JUL2016_LD1	G6R2_MAIN_12JUL2016_LD1	G6R1_MAIN_01AUG2016_LD1	G5R3_NF_01AUG2016_LD1	G5R4_NF_01AUG2016_LD1	G5R2_MAIN_01AUG2016_LD1	G6R4_NF_01AUG2016_LD1	G6R2_NF_01AUG2016_LD1	G6R2_MAIN_01AUG2016_LD1	G6R4_MAIN_01AUG2016_LD1	G5R1_MAIN_01AUG2016_LD1	G6R3_MAIN_01AUG2016_LD1	G5R2_NF_01AUG2016_LD1	G5R4_MAIN_01AUG2016_LD1	G5R1_NF_01AUG2016_LD1	G6R1_NF_01AUG2016_LD1	G5R3_MAIN_01AUG2016_LD1	G6R3_NF_01AUG2016_LD1	G5R3_MAIN_22AUG2016_LD1	G5R1_NF_22AUG2016_LD1	G5R2_NF_22AUG2016_LD1	G5R4_NF_22AUG2016_LD1	G5R2_MAIN_22AUG2016_LD1	G6R1_MAIN_22AUG2016_LD1	G6R3_MAIN_22AUG2016_LD1	G5R1_MAIN_22AUG2016_LD1	G6R3_NF_22AUG2016_LD1	G6R1_NF_22AUG2016_LD1	G6R2_NF_22AUG2016_LD1	G6R2_MAIN_22AUG2016_LD1	G6R4_MAIN_22AUG2016_LD1	G5R3_NF_22AUG2016_LD1	G5R4_MAIN_22AUG2016_LD1	G6R4_NF_22AUG2016_LD1	G5R2_NF_12SEP2016_LD1	G5R2_MAIN_12SEP2016_LD1	G5R1_MAIN_12SEP2016_LD1	G5R4_NF_12SEP2016_LD1	G5R1_NF_12SEP2016_LD1	G6R2_MAIN_12SEP2016_LD1	G5R3_MAIN_12SEP2016_LD1	G5R3_NF_12SEP2016_LD1	G6R2_NF_12SEP2016_LD1	G6R1_MAIN_12SEP2016_LD1	G6R3_NF_12SEP2016_LD1	G6R4_MAIN_12SEP2016_LD1	G6R3_MAIN_12SEP2016_LD1	G6R1_NF_12SEP2016_LD1	G6R4_NF_12SEP2016_LD1	G5R4_MAIN_12SEP2016_LD1	G5R1_MAIN_03OCT2016_LD1	G5R2_NF_03OCT2016_LD1	G5R2_MAIN_03OCT2016_LD1	G5R4_MAIN_03OCT2016_LD1	G5R3_MAIN_03OCT2016_LD1	G5R1_NF_03OCT2016_LD1	G5R3_NF_03OCT2016_LD1	G5R4_NF_03OCT2016_LD1	G6R3_NF_03OCT2016_LD1	G6R4_NF_03OCT2016_LD1	G6R4_MAIN_03OCT2016_LD1	G6R3_MAIN_03OCT2016_LD1	G6R1_MAIN_03OCT2016_LD1	G6R1_NF_03OCT2016_LD1	G6R2_NF_03OCT2016_LD1	G6R2_MAIN_03OCT2016_LD1	G6R4_MAIN_07NOV2016_LD1	G6R2_NF_07NOV2016_LD1	G6R1_MAIN_07NOV2016_LD1	G6R1_NF_07NOV2016_LD1	G6R3_MAIN_07NOV2016_LD1	G6R2_MAIN_07NOV2016_LD1	G6R4_NF_07NOV2016_LD1	G6R3_NF_07NOV2016_LD1
Alanine, aspartate and glutamate metabolism	18.174779783437277	19.4400225609794	21.398057998332238	24.04574530340852	20.6734980078977	21.02814601192209	18.67704082261911	17.6480198043159	22.764842878457554	20.82926136840797	0.0	20.810207654545096	20.276805470717104	18.94619261354012	17.707264602424466	19.85250879586826	18.815196281333925	20.076391435208993	23.009795850320398	20.505699010007696	0.0	19.272432588828412	0.0	0.0	19.651675807796654	18.263216777529575	19.902072015927963	18.680245083984627	19.572632013240252	17.815234221171558	0.0	18.32460122307629	17.229517644663613	18.08031288104847	16.494431337279643	17.4410413284633	16.15717476227765	17.298033703199888	18.62845140610434	20.91063113677713	18.695234168133716	17.251911909640903	17.511617564004563	20.260771256784192	19.85032088522663	19.555928942568073	18.7416643273434	18.424849879592166	19.459670320744156	18.420662780588312	18.84148357886698	19.197655287390695	18.88626700011872	17.769618506532073	18.065063925835627	19.209679610462988	16.802672824542586	17.487522496285933	18.265050140329212	18.458661089605126	18.454330289929725	16.913922742113396	18.21251144566848	18.555932245284843	16.32230403954148	16.94460314105533	17.39255467477792	16.389765788241494	15.360410735367847	16.09601005429301	15.961971703913582	16.01787060679214	17.381471074012534	16.128207281514968	17.182902180393597	17.032332846917235	16.552094469199904	16.469220919252592	16.94311766805934	14.908891627330604	15.060418403018934	15.49936514902227	15.871046799884194	16.25690628682586	15.193231640436203	15.496083847533106	15.786101140943645	15.344697795651557	15.205985382748679	15.545932299351803	15.364842432496136	15.501896721119346	15.387270627788936	15.491771173179893	15.079050427476773	15.664033406669141	15.288818773837022	15.155486117601331	14.868925923917574	15.260486835352886	15.241790369256831	15.528227798411658	15.112639495761133	14.869931012591502	15.762150990103185	15.20447430204949	15.533572101416745	15.190917722632898	15.233747367642819	15.400029614064271	15.553643831865543	14.79462595011394	14.772984462788294	14.889169876347184	14.691711651205512	14.768822731977224	14.719795925763453	14.870241571650615	14.85486416756775	14.728980322787299	15.955828733027317	14.938752411635079	15.17670529166084	15.711702754302408	15.997204275745831	15.764576643005892	15.621050774333645	15.294087953646876	14.610776616333318	14.423669834583192	14.638765829716244	14.767395967507996	14.451977255996646	14.512981733963016	14.540128858314594	0.0
Amino sugar and nucleotide sugar metabolism	18.82611964921582	19.94283968417432	22.17895095560546	0.0	22.17831022961886	22.790312644292907	20.305358417487547	19.089135607400728	22.642900337441272	20.977920189957555	0.0	19.889710190312503	21.789510180477592	20.60016723953609	18.327271340507902	0.0	19.118516600597122	20.774633486404717	0.0	0.0	0.0	19.566792780986493	22.34761468441938	0.0	20.376419429090497	18.44463245481412	19.224812034388783	18.713356039874558	21.06794172678852	17.832806401580903	0.0	18.28666731102855	17.801941846712438	18.34704745534959	16.884419752553157	17.600175604298173	16.694454648607028	17.373615706385284	18.209099638299847	20.662863795276166	19.48411626288512	17.88438549784894	18.127351170655963	0.0	22.368274630688177	20.7617202701568	19.718818705645987	19.430259949406945	20.281212648505825	18.83095150733564	19.72069875864112	19.73314478374309	19.318680887027526	17.878647785376717	18.7830196940147	19.312578847503215	17.15562511697959	18.135864130297822	18.656393319246313	18.947164155956862	18.843486602933332	17.054458551379536	18.528213906884545	19.148804273604384	16.693773895658993	17.177302487284845	17.828504922494062	16.827352705532657	15.677147097373085	16.774096208799055	16.37935937988376	16.40869555069177	17.827667333710103	16.257771228518568	17.565373806987484	17.711067796993696	16.82216337405099	17.022624640001947	16.96960300063541	15.190968753396845	15.188954188603184	15.65944578827795	15.924195212566852	16.304828653608272	15.315513165806268	16.090852990670818	16.38266572166573	15.58237458202777	15.604920743584126	16.125361957895997	15.965923712220311	15.884268604499509	15.793753114355898	15.29260560869213	15.329313507157492	16.147569474131483	15.4931608331053	15.344281642272522	15.018578462532309	15.488202823285828	15.274243577465962	15.841631366379174	15.212448839636586	14.998999811662094	16.148051328469293	15.521120664556754	15.805689701665466	15.45560777372189	15.53286910092155	15.88820013361959	15.731383389220788	14.900638837835281	14.889136998528256	14.932196061064017	14.886985355983821	14.893653989727309	14.873254093285022	15.003412153419479	14.954712268482629	14.929738320166068	16.14874322275499	15.175326344787365	15.38593150864781	16.058744955552967	16.069449503411384	15.818639509162868	15.745075614085179	15.285349793247397	14.983111224993337	14.819729182381492	14.961841207143399	14.995644937325093	14.857515427323571	14.907395500148912	14.898466427979702	0.0
Aminoacyl-tRNA biosynthesis	18.86918656358244	19.176423432429342	22.35313912783089	23.51822187396651	20.2137421763022	21.183195399915213	19.16932501374796	17.478713395174637	21.682039239924624	20.10723333540953	0.0	22.13831621890788	19.88312511445816	19.81800488392781	18.165618350106673	20.6146870315188	19.51844387208811	20.8322541585136	0.0	22.98971510624652	22.413217272022308	18.881069705752097	0.0	0.0	19.965564378357904	18.420582398061722	19.040348532055987	18.408775625138365	19.21177776870199	17.676340943928082	0.0	18.89992614586495	17.31133356835313	18.003213004376093	16.683628664841468	17.610757989407873	16.285913564485313	17.087918987689537	18.342840054401634	19.72867666031409	19.06622260741191	17.68426452961881	17.918417497594312	21.35907098160486	20.327687016483196	19.498984617601113	18.760729187499376	17.994486454636213	19.003913483093765	18.273490279844847	18.493735709398557	19.51279797433074	19.032989497130032	17.87393732219498	18.16362927266442	19.013613985307583	17.23520328515819	17.69846217838247	18.055163193143688	18.30650194655814	19.225075447391745	17.12972144309117	18.311707748704112	18.691313126624976	16.469368635524823	16.850931443967347	17.349102119376344	16.29346342911409	15.524825817358419	16.226758406446724	16.02491020803946	15.922689576631948	17.274209666221896	16.233352713943635	16.86715339747492	17.244201445998883	16.569747886477263	16.66976233936786	16.863071945172724	15.009531167642372	14.915045402759164	15.524640535078229	15.681915975514054	16.11129071844203	15.108237102220857	15.549807554389423	15.75685838200214	15.246670053300573	15.227064719314154	15.646220203411975	15.466457614635235	15.335814453428378	15.292713045802396	15.323105333720653	15.085223731617782	15.585726878878301	15.227223403476588	15.04492373598944	14.844149690360203	15.19728068339438	15.07553589187908	15.347073224906266	15.013916569253789	14.844048391761262	15.612003800582624	15.196310723048585	15.307931674715636	15.016244906203116	15.062999646785538	15.274915459736976	15.365398802042618	14.839564308532085	14.725361295353443	14.799447522247979	14.720413449632693	14.718743451277966	14.725071989317875	14.791973533518199	14.75150873777921	14.704160686531644	15.740110840836495	14.821699085677404	15.004791139759888	15.564912807250778	15.764970186998013	15.525948178238966	15.398164611802802	15.117005706222345	14.51275711426309	14.37163144466216	14.56342357514043	14.601269376498882	14.517766503985346	14.469557738810515	14.450704934723282	0.0
Aminobenzoate degradation	17.707969524898203	0.0	24.764249650430575	0.0	0.0	21.12517743531252	19.358067697356276	22.454263260318015	0.0	19.35704744563135	0.0	0.0	19.354824384571863	21.017435909449024	17.82600703762823	0.0	21.434857960542175	22.421547215136307	0.0	0.0	0.0	19.461070937799864	0.0	0.0	0.0	17.97890698920948	20.697279088885917	18.451494928194744	21.03587380847609	17.575654826147453	0.0	19.69386548228938	17.564611743342436	16.968080743277344	16.467857429030346	17.289888963374953	16.127821600370876	16.467165955004347	17.7366212695301	21.38293311140311	18.61427417021852	17.92708048920047	17.44759434669736	0.0	19.032034503735012	19.72826732461542	19.643998787004293	19.71610866168875	20.178409184963996	20.94323942657355	20.825385206703608	24.85110261513085	20.514441444957257	21.005305653663076	18.960197713322586	19.60631423464438	16.61109210218077	17.784894968328558	18.410387840924447	21.725040071101912	19.565669641825565	16.006453155113505	19.51644668682487	20.504784638865896	16.1195615910227	17.183923788459012	18.406648801272947	16.66253655606515	15.119290365931356	16.395186784334967	15.819277217288821	15.916825946159285	17.994921024559034	15.985722978380492	17.88769662571565	17.89033331829743	17.422549341009077	16.465821999445673	17.406390094676112	14.349832245313857	15.979210636470734	15.794161769324454	16.312644234444985	16.667695440756116	15.686722985424856	15.77122059808291	16.21564814170236	16.354700572818867	15.35112421891699	15.97755005316214	15.683716162285021	15.561950566048301	15.629363056691504	15.789796829060306	15.504580372461783	16.0033260697861	15.786509917393419	15.649532974040527	15.32944184326074	15.752224941036962	15.768199815455768	15.987369463729598	15.557730770499528	15.249618180236515	16.117990006399953	15.886632453102587	15.770256683446771	15.496698786540994	15.71313438256168	15.653390283962459	15.882030301980544	15.19440870439148	15.122458266142187	15.203183694261886	15.044127505240084	15.188829154451897	15.04677604124704	15.179148643880845	15.342741330184682	15.100175566782239	16.361011739419077	15.30890025228187	15.480544253119684	16.043912134689084	16.430215797704633	15.970925900019754	15.858268762981583	15.567383248164166	14.74359632985413	14.628859526773581	15.028680501937913	15.040046488929342	14.5992114125388	14.706379363603231	14.566470924847357	0.0
Arginine and proline metabolism	18.12502917908938	19.514161821530834	22.681188115512672	22.934560082020017	20.10172136256503	20.343485447381468	19.18099495123901	18.278134668814083	23.473990400363938	21.425696601237203	0.0	21.951030237658866	20.480703056332874	19.616178590668277	17.39290041211457	20.27579657737867	18.878886889491348	20.340105839503213	0.0	21.71107872830862	0.0	19.28001030716446	22.912224512703077	22.09651947655198	20.066305896449226	18.25862670807699	19.499894788934245	17.81868873145303	18.84574383324503	17.79764716716687	0.0	18.705453877932445	17.854971808671394	18.37915567468838	16.405573328127346	17.351284682977028	16.26494872155149	17.261890318127378	18.98397397204274	19.960960269646908	18.96113472678561	17.2477039430963	17.466020304535142	22.25183100358208	20.46855721783069	19.35519766301282	19.439158587892404	18.641534676367318	19.070741765726442	18.485912106801038	18.23993754656689	19.2055504925774	18.337472969563553	18.008551074251976	18.468666407736563	19.42342120948649	16.34286527607255	17.523763767046972	18.71096779711712	18.531226841399405	18.914979672157585	16.58854870566456	17.719441968946363	18.878761713181817	16.488647616914516	17.212383393423202	17.81096840149047	16.45566556367153	15.306912121904482	15.985162664717816	15.886326318637975	15.9947720101913	17.81143992262462	16.285181564258412	17.554080608478515	17.064487164995473	16.697721726152228	16.540563890611427	16.707828487017	14.968661204110838	15.264353284216057	15.630040209895261	16.094601021166355	16.32477777334154	15.318618987307591	15.67236473471569	16.16285830961222	15.658656814378327	15.3782133838353	15.802213210904256	15.58618356164905	15.6296651093189	15.548413861366713	15.392367396903204	15.210934040446764	15.827104919940652	15.586382878901214	15.325257591326617	15.004793502318075	15.509961625228804	15.464660678110121	15.770638572255402	15.221352126560012	15.09292890261768	15.91162726967236	15.459981624384742	15.685744074782429	15.35132015694973	15.397844679523434	15.627683024702492	15.741982554660671	14.888357828970449	14.927811600477183	15.023637312530191	14.939838373868653	14.959399730632677	14.833479224752901	15.018253304343974	15.072168553462838	14.932334732840886	16.101086184636888	15.138049647770975	15.331015761669859	15.956972262648769	16.399789046301702	15.945472071934336	15.835253145003144	15.44004595912796	14.69886183776024	14.541960894836224	14.835939066214658	14.941712515374192	14.541681195816466	14.578747282291905	14.55599913738019	0.0
Ascorbate and aldarate metabolism	18.642003999685528	17.694979922579062	23.73223005190558	21.850807720370963	0.0	21.516467679897925	19.740642010969722	19.826147899681803	0.0	21.741331353506727	0.0	0.0	21.275130351814735	20.060312696011025	17.748776514195562	0.0	19.022577520677125	20.152951885012968	20.638095646051003	0.0	0.0	19.566475616335932	0.0	0.0	0.0	17.957389651485613	20.0292040818231	16.82467393248871	22.187699088436833	16.766254021394005	0.0	18.518120144946195	18.492959719005103	19.024796853162787	16.929499300168263	18.47011598640741	15.762325598585866	16.80408323257285	18.451921903922987	20.23656849091818	19.041384889510446	17.423821451255954	17.992181683656543	0.0	0.0	19.52677621940327	19.259117878800716	19.634793559125995	19.932593197622396	19.358070207198477	18.490065578421884	21.22006208282247	0.0	18.05609198542238	18.779837011243377	18.826355366448507	16.901511644534217	18.216309019423274	18.843149194177638	18.231325583796206	19.620110537014348	17.808641306223734	18.612326806553796	20.17247432532152	17.185725105389583	17.09200640856045	17.399630245573732	16.418592921427322	15.04087839579328	16.569500293015388	16.679120800129578	16.072268318532313	17.966746669282895	16.711463181917452	17.36573122926924	17.476121083566433	16.92203842484462	16.67171957840908	16.396102920599063	15.060080609753612	15.279809617398161	15.232878415888413	15.850770265233885	15.901472210004915	14.778533418281837	16.03870269338569	16.329799533895077	15.729522931327871	15.628705188596836	16.480777427981003	16.023916226700898	15.582776527174884	15.692015191419559	14.894291929485082	15.439190020808862	15.908958075111311	15.767850164829452	15.605709582057703	15.303235570880009	15.732596220985938	15.532819749649203	15.811610832277214	15.333654358919489	15.293538124535814	15.890893591701678	15.657519518938509	15.519174792044124	15.209299448274162	15.343370002263805	15.720409346853035	15.653002574249221	15.253665475688178	15.158240189002873	15.313053890141838	15.113169504512665	15.16342606748058	15.104534307534019	15.177716271345433	15.306764136020112	15.18567901475129	15.9725718109589	14.966240964049211	15.259830439417614	15.716083949154086	16.29708366835044	15.902678823628897	15.690405522304859	15.288891899374885	14.797836797591598	14.677290853933021	14.913745922383395	14.97344792309307	14.682414653429612	14.6879056871923	14.63723188798568	0.0
Atrazine degradation	17.676675805436325	19.139012348605583	0.0	0.0	20.105427787145253	19.23352204397202	21.291783767027244	0.0	0.0	0.0	0.0	0.0	19.442361204272945	21.43017859045744	16.81244264560538	20.02086220246671	0.0	18.77107146807231	0.0	0.0	0.0	17.790346064514303	0.0	0.0	18.57178632605647	18.542212271611945	0.0	19.07708962325162	0.0	17.450147121956324	0.0	0.0	17.147080541903804	20.451047990993462	16.348694560028708	20.03220069312577	15.925808514145176	18.191288233074058	19.414596350427612	0.0	17.653826656961048	16.7013445144514	16.67031106505318	0.0	18.502971412369835	19.919417522828105	20.854150194697496	19.652242247252875	19.304021285294876	19.98751905551555	0.0	18.91977873338744	20.221644034482463	17.675595671523986	18.560478064169196	18.670589937120127	17.12467702042515	17.029797464105496	0.0	0.0	20.593726734230774	16.99148894617967	18.066538882328246	19.331496008095083	16.959709925961413	17.54116636638658	18.956112421916032	16.511237909147386	15.950900685483965	16.490622213496124	17.189153805348514	15.564858659141226	16.783645429815287	16.55875996597897	16.731957128181715	16.823942185004643	16.183979543389523	16.613354603645202	17.399969437090288	15.576731879211634	15.76024909096214	16.03498293524087	16.09423696347979	17.112888579900115	15.63019559988412	16.46206903407022	16.219904989175816	16.11092963267279	16.149600758879085	16.57657183895573	15.981904044979263	15.585188588151674	15.738317184837506	16.08096571428368	15.415032904802443	15.78841664960631	15.7825814930548	15.490792599519636	15.243913609696962	15.546292269528104	15.742252861586298	15.369570249988234	15.46681927583273	15.080291277590165	15.778665794240633	16.34558098275901	15.703490017015554	15.389333774460695	15.53393210632454	15.78908339603958	15.590327052862737	14.968487927978657	15.069121951011384	15.060735095110221	14.852929546615789	14.9497387256732	14.792038643626446	14.799536373837999	15.10077579603422	14.868333549839644	15.794848397649865	15.02237576398071	15.668962459236475	15.884235224780639	16.29668689957288	15.86795092396097	16.07096645715979	15.385737308351958	14.636054313871211	14.355314160370261	15.00611158832777	15.028782621450286	14.473516837370001	14.457089610496134	14.449880648278725	0.0
Bacterial chemotaxis	18.212028036095973	0.0	21.23203640082112	0.0	0.0	20.82546051910671	22.120632295567386	0.0	0.0	0.0	0.0	0.0	0.0	18.26728455021256	17.988677694323506	0.0	17.90419753022727	17.965199287126577	0.0	0.0	0.0	18.966622818638694	0.0	0.0	0.0	18.724318397416443	19.101092463324587	19.69822412989687	0.0	19.651805538525043	0.0	16.93156997981134	16.962639124553355	18.31274000391985	16.480345220440054	17.376784834134384	16.84385988622716	17.55457083480697	18.172527421006063	0.0	19.018666569763518	17.059832788763003	17.726740738088356	0.0	19.244400904173645	0.0	19.376877693751794	18.205252236906958	0.0	19.382921434603073	18.93860457628757	19.534371667686546	18.439325568579516	17.729994616586268	20.071667503721457	18.358426150461	17.42309539802	17.30200271688401	17.920465830623193	18.17087884639283	18.846893887651337	16.966262836956776	18.343760064470455	18.145467016624927	15.926323037351859	16.867890327197	18.052972214316828	16.088416750510124	15.520624883399169	16.65159713176139	15.83971732129738	15.686824504529861	17.531343798914794	15.844435412741348	16.96667391776681	16.870701266277567	16.82681306958685	16.723503388551602	16.685668907970022	14.81178877098086	14.862469251519075	14.841586772395669	15.45002736510831	15.863001084438405	15.162561898394374	15.06232912446586	15.331349314722068	15.002315956408001	14.829769305519287	15.278878189447502	14.892136064588662	14.80658214868206	15.009529170888996	15.074300902867844	14.669378105429944	15.30365536583607	15.251421863889272	15.1049078602538	15.021232307938678	15.094027011277598	15.106400944178368	15.048651822134655	15.268935512147834	15.110585936864819	15.345578594270233	15.353303320079485	15.115670046618439	14.934335016573659	14.803520345650428	14.887452154581108	15.265689732769268	15.022016675634845	15.08561596670622	15.044458656144867	15.05744675773914	15.002204584583666	15.116644913687301	15.067107711445873	15.171567727521207	14.724569638839847	15.748363348685329	14.735085154310363	14.952266427786556	15.41332775995883	15.950421219384353	15.498340657119863	15.291631285985071	15.117767427895627	14.583822067837419	14.31657080705683	14.697331112702235	14.749969464741161	14.383511107096353	14.318363781452632	14.252720588034189	0.0
Base excision repair	19.329712138049327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.35961150099182	19.70188388208061	0.0	0.0	0.0	19.643258230785726	18.6109162870687	0.0	18.76447136372612	19.14301194886231	0.0	0.0	0.0	18.17971988532638	0.0	0.0	0.0	0.0	0.0	19.476684409434057	20.84151396995331	18.805658712246668	0.0	0.0	16.921559444324064	17.610455028189016	16.32206045867562	16.886867143923517	16.934110943577814	17.266268656989855	18.979350830809807	0.0	0.0	18.371919826707753	19.226766587529735	0.0	19.65468719029631	0.0	19.842553686581333	19.218229397301602	0.0	17.596225051216916	20.680735295947137	18.691200397752077	20.563393508999262	19.37474467805474	19.047145085154398	17.392700631158345	17.82320071778907	17.287891127426295	18.490889299879274	18.448990425291154	19.25167113224344	16.948847494051304	18.50919225248243	18.66645420703201	16.286555298472624	17.298012293076063	18.002191489309155	16.263564832899494	15.636401047236218	16.340439556439772	15.732326805437264	15.73821656325064	18.935769888969357	16.07330491101864	16.89058939071034	18.15182175093674	16.23673297221607	16.13906439311349	17.76800503194291	15.316225607079533	15.135175932679058	15.367855089877311	15.351552439138505	16.17026180195863	15.260005817869294	15.440126418401936	15.51192354595525	15.221448958606414	15.055884696301485	15.494623420957813	15.220066279862003	15.39796056141205	15.23268352419759	15.200389749722778	14.938261708091295	15.683458630947372	15.314051012111925	15.345066353417884	15.266659991972535	15.327606468015855	15.369010324295651	15.460392664865168	15.365604882847125	14.956030874224632	15.876917439124158	15.649361686451119	15.737188098567591	15.368508326189037	15.406570390281738	15.075911546383718	15.690013497273032	15.199326483406622	14.993905426030624	14.897362321154054	15.015930596531232	14.919431602903027	14.935957913639601	15.008143642433339	15.07325841727678	14.772065011272765	15.984960856109314	15.072469180053641	15.492913694689886	16.025114695831963	17.09636934564497	15.785073525225249	15.43104766959554	15.448937674459474	14.74562207637668	14.56505962469342	14.87698848284943	14.845753231760046	14.835747840333296	14.65000512202683	14.709976441898712	0.0
Benzoate degradation	19.137354673765802	20.749565661385457	22.708441972951142	21.585340752217746	0.0	0.0	21.514529298201886	20.590057038331246	0.0	0.0	21.28815952790042	22.099822525032145	0.0	21.474029022236703	18.59130118488374	0.0	19.58743329846208	20.40650480875788	0.0	0.0	0.0	19.922311643893313	0.0	0.0	0.0	17.97133657710989	20.529733662018092	19.26366253000542	20.663467735264252	17.918290802001387	0.0	19.027052040448122	18.248046395702683	17.47153041974171	16.093196660864482	17.2034472522741	15.826582445725832	15.959623430068842	16.834913788071397	20.64128573127382	19.380992250443665	18.427619548128668	18.626601028154788	0.0	20.634810762856258	20.303627058759854	19.446651497812265	19.60439261069315	20.191772973565236	19.913434678414752	18.8787362655701	19.983916100882876	21.37824044512788	19.179593144263745	20.41433737475076	18.437425642096464	16.18013654358375	17.99488128727332	17.884668290403773	17.72668454394802	18.2876528615368	16.763072260760794	18.01666296774063	19.01946709529655	16.38732986331085	17.54082205826701	18.62767300006999	17.116906642836216	14.62823962747036	16.022746523903315	15.69313635516813	15.938391591484915	17.73662576992219	15.683715222012234	17.46453306497786	18.30897794376257	16.87883023900303	15.82343508076937	17.55563711012114	13.919799953247551	15.499213938645179	16.537485195185752	16.386295264298017	17.227964849191977	15.937834604348442	15.543475379323867	16.399142246375067	16.105024006835745	15.265830688530738	15.542987591967602	15.382003298211476	15.585614636294006	15.575105529828955	16.30772211692885	15.847982669557188	15.815805479933264	15.619494814622007	15.368850365375582	15.022234900970911	15.654593079868723	15.427781373465296	15.776371765484292	15.19998463275098	15.032234297239674	16.043561950594793	15.319525093823048	15.478884461710985	15.314112555809803	15.429435542652314	15.83902991804646	15.781178273001284	14.93734478927546	14.894901193667614	14.974354253018985	14.893357693110278	14.943930729339245	14.818135598877332	14.999057219681442	15.046622682717109	15.044657217289819	16.196254200794918	14.839249214963447	15.30979313439204	15.927373277147172	16.20840381206402	15.870919798729151	15.751166889603097	15.477980107824841	14.782001981874787	14.728431166845064	15.012575474658135	15.029539513568944	14.836720445026895	14.794122394549298	14.8461767291055	0.0
