Level3	G6R1_MAIN_09MAY2016_LD1	G6R3_MAIN_09MAY2016_LD1	G6R1_NF_09MAY2016_LD1	G6R2_MAIN_09MAY2016_LD1	G6R4_NF_09MAY2016_LD1	G6R2_NF_09MAY2016_LD1	G6R4_MAIN_09MAY2016_LD1	G6R3_NF_09MAY2016_LD1	G6R1_MAIN_31MAY2016_LD1	G6R2_NF_31MAY2016_LD1	G6R3_MAIN_31MAY2016_LD1	G6R1_NF_31MAY2016_LD1	G6R4_MAIN_31MAY2016_LD1	G6R2_MAIN_31MAY2016_LD1	G6R4_NF_31MAY2016_LD1	G6R3_NF_31MAY2016_LD1	G6R3_NF_20JUN2016_LD1	G6R3_MAIN_20JUN2016_LD1	G6R4_NF_20JUN2016_LD1	G6R2_MAIN_20JUN2016_LD1	G6R4_MAIN_20JUN2016_LD1	G6R2_NF_20JUN2016_LD1	G6R1_MAIN_20JUN2016_LD1	G6R1_NF_20JUN2016_LD1	G6R2_NF_12JUL2016_LD1	G6R4_NF_12JUL2016_LD1	G6R4_MAIN_12JUL2016_LD1	G6R1_NF_12JUL2016_LD1	G6R1_MAIN_12JUL2016_LD1	G6R3_MAIN_12JUL2016_LD1	G6R3_NF_12JUL2016_LD1	G6R2_MAIN_12JUL2016_LD1	G6R1_MAIN_01AUG2016_LD1	G6R4_NF_01AUG2016_LD1	G6R2_NF_01AUG2016_LD1	G6R2_MAIN_01AUG2016_LD1	G6R4_MAIN_01AUG2016_LD1	G6R3_MAIN_01AUG2016_LD1	G6R1_NF_01AUG2016_LD1	G6R3_NF_01AUG2016_LD1	G6R1_MAIN_22AUG2016_LD1	G6R3_MAIN_22AUG2016_LD1	G6R3_NF_22AUG2016_LD1	G6R1_NF_22AUG2016_LD1	G6R2_NF_22AUG2016_LD1	G6R2_MAIN_22AUG2016_LD1	G6R4_MAIN_22AUG2016_LD1	G6R4_NF_22AUG2016_LD1	G6R2_MAIN_12SEP2016_LD1	G6R2_NF_12SEP2016_LD1	G6R1_MAIN_12SEP2016_LD1	G6R3_NF_12SEP2016_LD1	G6R4_MAIN_12SEP2016_LD1	G6R3_MAIN_12SEP2016_LD1	G6R1_NF_12SEP2016_LD1	G6R4_NF_12SEP2016_LD1	G6R3_NF_03OCT2016_LD1	G6R4_NF_03OCT2016_LD1	G6R4_MAIN_03OCT2016_LD1	G6R3_MAIN_03OCT2016_LD1	G6R1_MAIN_03OCT2016_LD1	G6R1_NF_03OCT2016_LD1	G6R2_NF_03OCT2016_LD1	G6R2_MAIN_03OCT2016_LD1	G6R4_MAIN_07NOV2016_LD1	G6R2_NF_07NOV2016_LD1	G6R1_MAIN_07NOV2016_LD1	G6R1_NF_07NOV2016_LD1	G6R3_MAIN_07NOV2016_LD1	G6R2_MAIN_07NOV2016_LD1	G6R4_NF_07NOV2016_LD1	G6R3_NF_07NOV2016_LD1
Alanine, aspartate and glutamate metabolism	17.6480198043159	20.82926136840797	0.0	20.810207654545096	20.276805470717104	18.94619261354012	17.707264602424466	19.85250879586826	18.815196281333925	19.651675807796654	18.263216777529575	19.902072015927963	18.680245083984627	19.572632013240252	17.815234221171558	18.32460122307629	17.229517644663613	18.08031288104847	16.494431337279643	17.4410413284633	16.15717476227765	17.298033703199888	18.62845140610434	18.7416643273434	19.209679610462988	16.802672824542586	17.487522496285933	18.265050140329212	18.458661089605126	18.454330289929725	16.913922742113396	18.555932245284843	16.32230403954148	15.360410735367847	16.09601005429301	15.961971703913582	16.01787060679214	16.128207281514968	16.469220919252592	14.908891627330604	15.496083847533106	15.786101140943645	15.205985382748679	15.545932299351803	15.364842432496136	15.501896721119346	15.387270627788936	15.664033406669141	15.528227798411658	15.762150990103185	15.20447430204949	15.533572101416745	15.190917722632898	15.233747367642819	15.400029614064271	15.553643831865543	15.955828733027317	14.938752411635079	15.17670529166084	15.711702754302408	15.997204275745831	15.764576643005892	15.621050774333645	15.294087953646876	14.610776616333318	14.423669834583192	14.638765829716244	14.767395967507996	14.451977255996646	14.512981733963016	14.540128858314594	14.646138835529921
Amino sugar and nucleotide sugar metabolism	19.089135607400728	20.977920189957555	0.0	19.889710190312503	21.789510180477592	20.60016723953609	18.327271340507902	0.0	19.118516600597122	20.376419429090497	18.44463245481412	19.224812034388783	18.713356039874558	21.06794172678852	17.832806401580903	18.28666731102855	17.801941846712438	18.34704745534959	16.884419752553157	17.600175604298173	16.694454648607028	17.373615706385284	18.209099638299847	19.718818705645987	19.312578847503215	17.15562511697959	18.135864130297822	18.656393319246313	18.947164155956862	18.843486602933332	17.054458551379536	19.148804273604384	16.693773895658993	15.677147097373085	16.774096208799055	16.37935937988376	16.40869555069177	16.257771228518568	17.022624640001947	15.190968753396845	16.090852990670818	16.38266572166573	15.604920743584126	16.125361957895997	15.965923712220311	15.884268604499509	15.793753114355898	16.147569474131483	15.841631366379174	16.148051328469293	15.521120664556754	15.805689701665466	15.45560777372189	15.53286910092155	15.88820013361959	15.731383389220788	16.14874322275499	15.175326344787365	15.38593150864781	16.058744955552967	16.069449503411384	15.818639509162868	15.745075614085179	15.285349793247397	14.983111224993337	14.819729182381492	14.961841207143399	14.995644937325093	14.857515427323571	14.907395500148912	14.898466427979702	14.898732382607353
Aminoacyl-tRNA biosynthesis	17.478713395174637	20.10723333540953	0.0	22.13831621890788	19.88312511445816	19.81800488392781	18.165618350106673	20.6146870315188	19.51844387208811	19.965564378357904	18.420582398061722	19.040348532055987	18.408775625138365	19.21177776870199	17.676340943928082	18.89992614586495	17.31133356835313	18.003213004376093	16.683628664841468	17.610757989407873	16.285913564485313	17.087918987689537	18.342840054401634	18.760729187499376	19.013613985307583	17.23520328515819	17.69846217838247	18.055163193143688	18.30650194655814	19.225075447391745	17.12972144309117	18.691313126624976	16.469368635524823	15.524825817358419	16.226758406446724	16.02491020803946	15.922689576631948	16.233352713943635	16.66976233936786	15.009531167642372	15.549807554389423	15.75685838200214	15.227064719314154	15.646220203411975	15.466457614635235	15.335814453428378	15.292713045802396	15.585726878878301	15.347073224906266	15.612003800582624	15.196310723048585	15.307931674715636	15.016244906203116	15.062999646785538	15.274915459736976	15.365398802042618	15.740110840836495	14.821699085677404	15.004791139759888	15.564912807250778	15.764970186998013	15.525948178238966	15.398164611802802	15.117005706222345	14.51275711426309	14.37163144466216	14.56342357514043	14.601269376498882	14.517766503985346	14.469557738810515	14.450704934723282	14.44056868469366
Aminobenzoate degradation	22.454263260318015	19.35704744563135	0.0	0.0	19.354824384571863	21.017435909449024	17.82600703762823	0.0	21.434857960542175	0.0	17.97890698920948	20.697279088885917	18.451494928194744	21.03587380847609	17.575654826147453	19.69386548228938	17.564611743342436	16.968080743277344	16.467857429030346	17.289888963374953	16.127821600370876	16.467165955004347	17.7366212695301	19.643998787004293	19.60631423464438	16.61109210218077	17.784894968328558	18.410387840924447	21.725040071101912	19.565669641825565	16.006453155113505	20.504784638865896	16.1195615910227	15.119290365931356	16.395186784334967	15.819277217288821	15.916825946159285	15.985722978380492	16.465821999445673	14.349832245313857	15.77122059808291	16.21564814170236	15.35112421891699	15.97755005316214	15.683716162285021	15.561950566048301	15.629363056691504	16.0033260697861	15.987369463729598	16.117990006399953	15.886632453102587	15.770256683446771	15.496698786540994	15.71313438256168	15.653390283962459	15.882030301980544	16.361011739419077	15.30890025228187	15.480544253119684	16.043912134689084	16.430215797704633	15.970925900019754	15.858268762981583	15.567383248164166	14.74359632985413	14.628859526773581	15.028680501937913	15.040046488929342	14.5992114125388	14.706379363603231	14.566470924847357	14.65113945610356
Arginine and proline metabolism	18.278134668814083	21.425696601237203	0.0	21.951030237658866	20.480703056332874	19.616178590668277	17.39290041211457	20.27579657737867	18.878886889491348	20.066305896449226	18.25862670807699	19.499894788934245	17.81868873145303	18.84574383324503	17.79764716716687	18.705453877932445	17.854971808671394	18.37915567468838	16.405573328127346	17.351284682977028	16.26494872155149	17.261890318127378	18.98397397204274	19.439158587892404	19.42342120948649	16.34286527607255	17.523763767046972	18.71096779711712	18.531226841399405	18.914979672157585	16.58854870566456	18.878761713181817	16.488647616914516	15.306912121904482	15.985162664717816	15.886326318637975	15.9947720101913	16.285181564258412	16.540563890611427	14.968661204110838	15.67236473471569	16.16285830961222	15.3782133838353	15.802213210904256	15.58618356164905	15.6296651093189	15.548413861366713	15.827104919940652	15.770638572255402	15.91162726967236	15.459981624384742	15.685744074782429	15.35132015694973	15.397844679523434	15.627683024702492	15.741982554660671	16.101086184636888	15.138049647770975	15.331015761669859	15.956972262648769	16.399789046301702	15.945472071934336	15.835253145003144	15.44004595912796	14.69886183776024	14.541960894836224	14.835939066214658	14.941712515374192	14.541681195816466	14.578747282291905	14.55599913738019	14.72008042696201
Ascorbate and aldarate metabolism	19.826147899681803	21.741331353506727	0.0	0.0	21.275130351814735	20.060312696011025	17.748776514195562	0.0	19.022577520677125	0.0	17.957389651485613	20.0292040818231	16.82467393248871	22.187699088436833	16.766254021394005	18.518120144946195	18.492959719005103	19.024796853162787	16.929499300168263	18.47011598640741	15.762325598585866	16.80408323257285	18.451921903922987	19.259117878800716	18.826355366448507	16.901511644534217	18.216309019423274	18.843149194177638	18.231325583796206	19.620110537014348	17.808641306223734	20.17247432532152	17.185725105389583	15.04087839579328	16.569500293015388	16.679120800129578	16.072268318532313	16.711463181917452	16.67171957840908	15.060080609753612	16.03870269338569	16.329799533895077	15.628705188596836	16.480777427981003	16.023916226700898	15.582776527174884	15.692015191419559	15.908958075111311	15.811610832277214	15.890893591701678	15.657519518938509	15.519174792044124	15.209299448274162	15.343370002263805	15.720409346853035	15.653002574249221	15.9725718109589	14.966240964049211	15.259830439417614	15.716083949154086	16.29708366835044	15.902678823628897	15.690405522304859	15.288891899374885	14.797836797591598	14.677290853933021	14.913745922383395	14.97344792309307	14.682414653429612	14.6879056871923	14.63723188798568	14.576874334469679
Atrazine degradation	0.0	0.0	0.0	0.0	19.442361204272945	21.43017859045744	16.81244264560538	20.02086220246671	0.0	18.57178632605647	18.542212271611945	0.0	19.07708962325162	0.0	17.450147121956324	0.0	17.147080541903804	20.451047990993462	16.348694560028708	20.03220069312577	15.925808514145176	18.191288233074058	19.414596350427612	20.854150194697496	18.670589937120127	17.12467702042515	17.029797464105496	0.0	0.0	20.593726734230774	16.99148894617967	19.331496008095083	16.959709925961413	15.950900685483965	16.490622213496124	17.189153805348514	15.564858659141226	16.55875996597897	16.613354603645202	15.576731879211634	16.46206903407022	16.219904989175816	16.149600758879085	16.57657183895573	15.981904044979263	15.585188588151674	15.738317184837506	15.78841664960631	15.369570249988234	15.778665794240633	16.34558098275901	15.703490017015554	15.389333774460695	15.53393210632454	15.78908339603958	15.590327052862737	15.794848397649865	15.02237576398071	15.668962459236475	15.884235224780639	16.29668689957288	15.86795092396097	16.07096645715979	15.385737308351958	14.636054313871211	14.355314160370261	15.00611158832777	15.028782621450286	14.473516837370001	14.457089610496134	14.449880648278725	14.53944717230837
Bacterial chemotaxis	0.0	0.0	0.0	0.0	0.0	18.26728455021256	17.988677694323506	0.0	17.90419753022727	0.0	18.724318397416443	19.101092463324587	19.69822412989687	0.0	19.651805538525043	16.93156997981134	16.962639124553355	18.31274000391985	16.480345220440054	17.376784834134384	16.84385988622716	17.55457083480697	18.172527421006063	19.376877693751794	18.358426150461	17.42309539802	17.30200271688401	17.920465830623193	18.17087884639283	18.846893887651337	16.966262836956776	18.145467016624927	15.926323037351859	15.520624883399169	16.65159713176139	15.83971732129738	15.686824504529861	15.844435412741348	16.723503388551602	14.81178877098086	15.06232912446586	15.331349314722068	14.829769305519287	15.278878189447502	14.892136064588662	14.80658214868206	15.009529170888996	15.30365536583607	15.048651822134655	15.345578594270233	15.353303320079485	15.115670046618439	14.934335016573659	14.803520345650428	14.887452154581108	15.265689732769268	15.748363348685329	14.735085154310363	14.952266427786556	15.41332775995883	15.950421219384353	15.498340657119863	15.291631285985071	15.117767427895627	14.583822067837419	14.31657080705683	14.697331112702235	14.749969464741161	14.383511107096353	14.318363781452632	14.252720588034189	14.184146246748636
Base excision repair	0.0	19.70188388208061	0.0	0.0	0.0	19.643258230785726	18.6109162870687	0.0	18.76447136372612	0.0	0.0	0.0	19.476684409434057	20.84151396995331	18.805658712246668	0.0	16.921559444324064	17.610455028189016	16.32206045867562	16.886867143923517	16.934110943577814	17.266268656989855	18.979350830809807	19.842553686581333	17.392700631158345	17.82320071778907	17.287891127426295	18.490889299879274	18.448990425291154	19.25167113224344	16.948847494051304	18.66645420703201	16.286555298472624	15.636401047236218	16.340439556439772	15.732326805437264	15.73821656325064	16.07330491101864	16.13906439311349	15.316225607079533	15.440126418401936	15.51192354595525	15.055884696301485	15.494623420957813	15.220066279862003	15.39796056141205	15.23268352419759	15.683458630947372	15.460392664865168	15.876917439124158	15.649361686451119	15.737188098567591	15.368508326189037	15.406570390281738	15.075911546383718	15.690013497273032	15.984960856109314	15.072469180053641	15.492913694689886	16.025114695831963	17.09636934564497	15.785073525225249	15.43104766959554	15.448937674459474	14.74562207637668	14.56505962469342	14.87698848284943	14.845753231760046	14.835747840333296	14.65000512202683	14.709976441898712	14.659126911592315
Benzoate degradation	20.590057038331246	0.0	21.28815952790042	22.099822525032145	0.0	21.474029022236703	18.59130118488374	0.0	19.58743329846208	0.0	17.97133657710989	20.529733662018092	19.26366253000542	20.663467735264252	17.918290802001387	19.027052040448122	18.248046395702683	17.47153041974171	16.093196660864482	17.2034472522741	15.826582445725832	15.959623430068842	16.834913788071397	19.446651497812265	18.437425642096464	16.18013654358375	17.99488128727332	17.884668290403773	17.72668454394802	18.2876528615368	16.763072260760794	19.01946709529655	16.38732986331085	14.62823962747036	16.022746523903315	15.69313635516813	15.938391591484915	15.683715222012234	15.82343508076937	13.919799953247551	15.543475379323867	16.399142246375067	15.265830688530738	15.542987591967602	15.382003298211476	15.585614636294006	15.575105529828955	15.815805479933264	15.776371765484292	16.043561950594793	15.319525093823048	15.478884461710985	15.314112555809803	15.429435542652314	15.83902991804646	15.781178273001284	16.196254200794918	14.839249214963447	15.30979313439204	15.927373277147172	16.20840381206402	15.870919798729151	15.751166889603097	15.477980107824841	14.782001981874787	14.728431166845064	15.012575474658135	15.029539513568944	14.836720445026895	14.794122394549298	14.8461767291055	14.735814455972465
