Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R1_MAIN_01AUG2016_LD1.fungal.stat	801996	801996	744328	15601	42067	248	1473085	2482	12593	8.16	6296.5	736542.5	1241.0
G5R1_MAIN_03OCT2016_LD1.fungal.stat	6753815	6753815	6681316	40620	31879	474	13347876	4641	9167	1.18	4583.5	6673938.0	2320.5
G5R1_MAIN_09MAY2016_LD1.fungal.stat	1572819	1572819	1572656	103	60	2	3145158	62	88	0.02	44.0	1572579.0	31.0
G5R1_MAIN_12JUL2016_LD1.fungal.stat	729303	729303	722230	2793	4280	52	1442462	376	1518	1.11	759.0	721231.0	188.0
G5R1_MAIN_12SEP2016_LD1.fungal.stat	4427118	4427118	4205164	55054	166900	466	8356579	4968	47849	5.62	23924.5	4178289.5	2484.0
G5R1_MAIN_20JUN2016_LD1.fungal.stat	1182988	1182988	1181090	1460	438	18	2361553	305	286	0.19	143.0	1180776.5	152.5
G5R1_MAIN_22AUG2016_LD1.fungal.stat	2198779	2198779	2070283	16057	112439	422	4102348	2043	35331	6.71	17665.5	2051174.0	1021.5
G5R1_MAIN_31MAY2016_LD1.fungal.stat	491692	491692	491370	278	44	8	982595	88	41	0.08	20.5	491297.5	44.0
G5R1_NF_01AUG2016_LD1.fungal.stat	867273	867273	816292	17815	33166	365	1619331	2494	10029	6.64	5014.5	809665.5	1247.0
G5R1_NF_03OCT2016_LD1.fungal.stat	5549603	5549603	5477109	31523	40971	260	10937596	3872	12230	1.46	6115.0	5468798.0	1936.0
G5R1_NF_09MAY2016_LD1.fungal.stat	3333688	3333688	3333357	92	239	9	6666402	105	189	0.01	94.5	3333201.0	52.5
G5R1_NF_12JUL2016_LD1.fungal.stat	533940	533940	520003	1853	12084	29	1035989	360	3599	2.99	1799.5	517994.5	180.0
G5R1_NF_12SEP2016_LD1.fungal.stat	3239021	3239021	3063991	20369	154661	172	6083119	2826	41693	6.1	20846.5	3041559.5	1413.0
G5R1_NF_20JUN2016_LD1.fungal.stat	555339	555339	552496	2322	521	40	1104062	474	376	0.6	188.0	552031.0	237.0
G5R1_NF_22AUG2016_LD1.fungal.stat	1231773	1231773	1164480	10373	56920	160	2310048	1580	17012	6.23	8506.0	1155024.0	790.0
G5R1_NF_31MAY2016_LD1.fungal.stat	602740	602740	601900	723	117	5	1203604	100	86	0.16	43.0	601802.0	50.0
G5R2_MAIN_01AUG2016_LD1.fungal.stat	2246390	2246390	2065863	41179	139348	714	4082579	4907	42812	9.13	21406.0	2041289.5	2453.5
G5R2_MAIN_03OCT2016_LD1.fungal.stat	6674586	6674586	6598801	44875	30910	720	13179644	5306	11212	1.27	5606.0	6589822.0	2653.0
G5R2_MAIN_09MAY2016_LD1.fungal.stat	3101528	3101528	3101387	103	38	3	6202595	126	47	0.01	23.5	3101297.5	63.0
G5R2_MAIN_12JUL2016_LD1.fungal.stat	471083	471083	465216	2146	3721	46	928643	423	1274	1.44	637.0	464321.5	211.5
G5R2_MAIN_12SEP2016_LD1.fungal.stat	2921444	2921444	2772940	29055	119449	268	5509512	3124	32708	5.71	16354.0	2754756.0	1562.0
G5R2_MAIN_20JUN2016_LD1.fungal.stat	485888	485888	483323	1282	1283	11	965921	221	482	0.6	241.0	482960.5	110.5
