Sample	PE mapped uniquely	PE mapped discordantly uniquely	PE one mate mapped uniquely	PE multimapped	PE one mate multimapped	PE neither mate aligned
G5R1_MAIN_01AUG2016_LD1.stat	1445666.0	33663.0	128326.5	3022251.0	251738.0	1042424.5
G5R1_MAIN_03OCT2016_LD1.stat	457799.0	9540.0	36646.0	1113044.0	76686.0	6834431.0
G5R1_MAIN_09MAY2016_LD1.stat	1508784.0	36624.0	134420.0	3097954.0	239061.5	1812039.5
G5R1_MAIN_12JUL2016_LD1.stat	2594162.0	68503.0	247788.5	5426189.0	513474.5	1192234.0
G5R1_MAIN_12SEP2016_LD1.stat	1002139.0	18921.0	84124.0	2111966.0	150968.5	4589745.5
G5R1_MAIN_20JUN2016_LD1.stat	1516009.0	32828.0	130942.0	3089761.0	243620.5	1428252.5
G5R1_MAIN_22AUG2016_LD1.stat	1988998.0	55610.0	190889.5	4478403.0	412187.0	2569165.5
G5R1_MAIN_31MAY2016_LD1.stat	1732109.0	51596.0	160071.5	3275505.0	323395.5	768213.0
G5R1_NF_01AUG2016_LD1.stat	1560091.0	37745.0	140499.0	3188715.0	273626.5	1128735.5
G5R1_NF_03OCT2016_LD1.stat	793735.0	14315.0	66274.0	1787154.0	125319.5	5685199.5
G5R1_NF_09MAY2016_LD1.stat	606842.0	18914.0	60506.5	1230643.0	117241.0	3439648.5
G5R1_NF_12JUL2016_LD1.stat	1752400.0	39997.0	155406.5	3615508.0	299782.5	825085.0
G5R1_NF_12SEP2016_LD1.stat	1668747.0	29203.0	136233.5	3544073.0	242791.0	3507023.5
G5R1_NF_20JUN2016_LD1.stat	1624646.0	40969.0	145680.0	3209495.0	277326.5	818383.5
G5R1_NF_22AUG2016_LD1.stat	1343729.0	29998.0	120436.0	2899368.0	232965.0	1462465.0
G5R1_NF_31MAY2016_LD1.stat	2093678.0	57544.0	193554.0	4100694.0	375534.0	955719.0
G5R2_MAIN_01AUG2016_LD1.stat	3061870.0	76051.0	272689.0	6065227.0	524347.5	2746018.5
G5R2_MAIN_03OCT2016_LD1.stat	614411.0	13859.0	55626.0	1297841.0	109067.0	6782361.0
G5R2_MAIN_09MAY2016_LD1.stat	712198.0	21090.0	74049.0	1496728.0	140820.5	3237486.5
G5R2_MAIN_12JUL2016_LD1.stat	1818576.0	50139.0	164828.5	3624468.0	329804.5	765259.0
G5R2_MAIN_12SEP2016_LD1.stat	1837668.0	32807.0	153556.0	3957606.0	278791.0	3225836.0
G5R2_MAIN_20JUN2016_LD1.stat	1707988.0	38339.0	146999.0	3422064.0	273914.5	758622.5
G5R2_MAIN_22AUG2016_LD1.stat	2689701.0	60203.0	240530.5	6090137.0	491430.0	4198798.5
G5R2_MAIN_31MAY2016_LD1.stat	3310640.0	81232.0	288735.5	6338990.0	533619.0	1396788.5
G5R2_NF_01AUG2016_LD1.stat	4096870.0	92069.0	352430.5	8163092.0	651943.0	2430902.5
G5R2_NF_03OCT2016_LD1.stat	745044.0	13475.0	63343.5	1668251.0	118060.5	6291524.0
G5R2_NF_09MAY2016_LD1.stat	1220338.0	41653.0	121029.5	2459718.0	250575.0	2607174.5
G5R2_NF_12JUL2016_LD1.stat	1729640.0	38331.0	150116.5	3659892.0	291077.0	802755.5
