Sample	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate
G5R1_MAIN_01AUG2016_LD1.stat	82.4
G5R1_MAIN_03OCT2016_LD1.stat	19.82
G5R1_MAIN_09MAY2016_LD1.stat	73.46
G5R1_MAIN_12JUL2016_LD1.stat	88.09
G5R1_MAIN_12SEP2016_LD1.stat	42.27
G5R1_MAIN_20JUN2016_LD1.stat	77.82
G5R1_MAIN_22AUG2016_LD1.stat	73.38
G5R1_MAIN_31MAY2016_LD1.stat	87.81
G5R1_NF_01AUG2016_LD1.stat	82.15
G5R1_NF_03OCT2016_LD1.stat	32.84
G5R1_NF_09MAY2016_LD1.stat	37.16
G5R1_NF_12JUL2016_LD1.stat	87.65
G5R1_NF_12SEP2016_LD1.stat	61.53
G5R1_NF_20JUN2016_LD1.stat	86.61
G5R1_NF_22AUG2016_LD1.stat	75.96
G5R1_NF_31MAY2016_LD1.stat	87.65
G5R2_MAIN_01AUG2016_LD1.stat	78.43
G5R2_MAIN_03OCT2016_LD1.stat	23.52
G5R2_MAIN_09MAY2016_LD1.stat	43.02
G5R2_MAIN_12JUL2016_LD1.stat	88.65
G5R2_MAIN_12SEP2016_LD1.stat	65.95
G5R2_MAIN_20JUN2016_LD1.stat	88.04
G5R2_MAIN_22AUG2016_LD1.stat	69.45
G5R2_MAIN_31MAY2016_LD1.stat	88.29
G5R2_NF_01AUG2016_LD1.stat	84.58
G5R2_NF_03OCT2016_LD1.stat	29.27
G5R2_NF_09MAY2016_LD1.stat	61.07
G5R2_NF_12JUL2016_LD1.stat	87.96
G5R2_NF_12SEP2016_LD1.stat	57.81
G5R2_NF_20JUN2016_LD1.stat	87.78
G5R2_NF_22AUG2016_LD1.stat	79.02
G5R2_NF_31MAY2016_LD1.stat	88.12
G5R3_MAIN_01AUG2016_LD1.stat	81.65
G5R3_MAIN_03OCT2016_LD1.stat	16.95
G5R3_MAIN_09MAY2016_LD1.stat	84.41
G5R3_MAIN_12JUL2016_LD1.stat	88.14
G5R3_MAIN_12SEP2016_LD1.stat	55.23
G5R3_MAIN_20JUN2016_LD1.stat	88.48
G5R3_MAIN_22AUG2016_LD1.stat	52.0
G5R3_MAIN_31MAY2016_LD1.stat	88.3
G5R3_NF_01AUG2016_LD1.stat	82.23
G5R3_NF_03OCT2016_LD1.stat	55.85
G5R3_NF_09MAY2016_LD1.stat	80.7
G5R3_NF_12JUL2016_LD1.stat	87.92
G5R3_NF_12SEP2016_LD1.stat	47.96
G5R3_NF_20JUN2016_LD1.stat	81.38
G5R3_NF_22AUG2016_LD1.stat	60.95
G5R3_NF_31MAY2016_LD1.stat	87.5
G5R4_MAIN_01AUG2016_LD1.stat	80.67
G5R4_MAIN_03OCT2016_LD1.stat	24.99
G5R4_MAIN_09MAY2016_LD1.stat	85.16
G5R4_MAIN_12JUL2016_LD1.stat	86.08
G5R4_MAIN_12SEP2016_LD1.stat	35.27
G5R4_MAIN_20JUN2016_LD1.stat	86.83
G5R4_MAIN_22AUG2016_LD1.stat	62.04
G5R4_MAIN_31MAY2016_LD1.stat	88.47
G5R4_NF_01AUG2016_LD1.stat	84.25
G5R4_NF_03OCT2016_LD1.stat	10.73
G5R4_NF_09MAY2016_LD1.stat	79.73
G5R4_NF_12JUL2016_LD1.stat	84.76
G5R4_NF_12SEP2016_LD1.stat	52.3
G5R4_NF_20JUN2016_LD1.stat	87.94
G5R4_NF_22AUG2016_LD1.stat	78.15
G5R4_NF_31MAY2016_LD1.stat	87.97
G6R1_MAIN_01AUG2016_LD1.stat	82.98
G6R1_MAIN_03OCT2016_LD1.stat	82.58
G6R1_MAIN_07NOV2016_LD1.stat	18.58
G6R1_MAIN_09MAY2016_LD1.stat	85.88
G6R1_MAIN_12JUL2016_LD1.stat	83.61
G6R1_MAIN_12SEP2016_LD1.stat	77.05
G6R1_MAIN_20JUN2016_LD1.stat	86.14
G6R1_MAIN_22AUG2016_LD1.stat	80.3
G6R1_MAIN_31MAY2016_LD1.stat	86.0
G6R1_NF_01AUG2016_LD1.stat	84.32
G6R1_NF_03OCT2016_LD1.stat	75.2
G6R1_NF_07NOV2016_LD1.stat	24.89
G6R1_NF_09MAY2016_LD1.stat	86.57
G6R1_NF_12JUL2016_LD1.stat	85.63
G6R1_NF_12SEP2016_LD1.stat	72.38
G6R1_NF_20JUN2016_LD1.stat	85.51
G6R1_NF_22AUG2016_LD1.stat	81.46
G6R1_NF_31MAY2016_LD1.stat	85.65
G6R2_MAIN_01AUG2016_LD1.stat	82.29
G6R2_MAIN_03OCT2016_LD1.stat	70.74
G6R2_MAIN_07NOV2016_LD1.stat	52.97
G6R2_MAIN_09MAY2016_LD1.stat	86.06
G6R2_MAIN_12JUL2016_LD1.stat	85.62
G6R2_MAIN_12SEP2016_LD1.stat	78.51
G6R2_MAIN_20JUN2016_LD1.stat	85.41
G6R2_MAIN_22AUG2016_LD1.stat	79.22
G6R2_MAIN_31MAY2016_LD1.stat	85.91
G6R2_NF_01AUG2016_LD1.stat	83.35
