Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R1_MAIN_05JUN2017_LR1	92085297	92085297	26420249	17936516	47728532	634681	35750586	2961617	12858933	80.59	6429466.5	17875293.0	1480808.5
G5R1_MAIN_07AUG2017_LR1	93559623	93559623	35340704	3243571	54975348	122050	58711019	805675	10920614	68.62	5460307.0	29355509.5	402837.5
G5R1_MAIN_12JUL2016_LR1	103056072	103056072	25211466	17635857	60208749	846564	33586445	2411294	12732065	83.7	6366032.5	16793222.5	1205647.0
G5R1_MAIN_12SEP2016_LR1	11458176	11458176	8520122	193954	2744100	10227	16320183	52235	647372	28.78	323686.0	8160091.5	26117.5
G5R1_MAIN_15MAY2017_LR1	84571087	84571087	10543910	1877056	72150121	48950	6775510	332684	13881726	95.99	6940863.0	3387755.0	166342.0
G5R1_MAIN_17JUL2017_LR1	98545553	98545553	49455465	12600818	36489270	483948	81569408	2583891	13789735	58.61	6894867.5	40784704.0	1291945.5
G5R1_MAIN_18SEP2017_LR1	75961987	75961987	60159214	706991	15095782	19452	114586486	443025	5250013	24.58	2625006.5	57293243.0	221512.5
G5R1_MAIN_26JUN2017_LR1	96920295	96920295	25096800	9929206	61894289	314630	36350974	1616266	11597100	81.25	5798550.0	18175487.0	808133.0
G5R1_MAIN_28AUG2017_LR1	71836493	71836493	47095003	7527047	17214443	272828	87161907	1268505	5213938	39.33	2606969.0	43580953.5	634252.5
G5R1_MAIN_31MAY2016_LR1	125109376	125109376	28568558	26521000	70019818	1073836	34704043	3520096	16765305	86.13	8382652.5	17352021.5	1760048.0
G5R1_NF_05JUN2017_LR1	73068303	73068303	12771090	6560514	53736699	276203	13266039	1190956	10532779	90.92	5266389.5	6633019.5	595478.0
G5R1_NF_07AUG2017_LR1	101151611	101151611	47693216	6247502	47210893	212722	81545823	1543838	11871327	59.69	5935663.5	40772911.5	771919.0
G5R1_NF_12JUL2016_LR1	144635414	144635414	31702706	9405864	103526844	436957	43836252	1457972	17237274	84.85	8618637.0	21918126.0	728986.0
G5R1_NF_12SEP2016_LR2	149242746	149242746	111480067	11510853	26251826	473957	213266557	1584758	7160905	28.55	3580452.5	106633278.5	792379.0
G5R1_NF_15MAY2017_LR1	91437045	91437045	12292943	3264824	75879278	103906	9853234	685331	13839509	94.61	6919754.5	4926617.0	342665.5
G5R1_NF_17JUL2017_LR1	84404546	84404546	31637080	18527496	34239970	724430	46677192	3189224	11958884	72.35	5979442.0	23338596.0	1594612.0
G5R1_NF_26JUN2017_LR1	92588247	92588247	23701694	10393603	58492950	406734	33634536	1674207	11281177	81.84	5640588.5	16817268.0	837103.5
G5R1_NF_28AUG2017_LR1	124299354	124299354	82499245	11592560	30207549	465559	152416051	2241249	9410072	38.69	4705036.0	76208025.5	1120624.5
G5R1_NF_31MAY2016_LR2	8823170	8823170	5473056	319721	3030393	15043	9805243	88578	1022205	44.43	511102.5	4902621.5	44289.0
G5R2_MAIN_07AUG2017_LR1	69534641	69534641	32530417	8366522	28637702	761263	51259982	1683525	10594801	63.14	5297400.5	25629991.0	841762.5
G5R2_MAIN_12JUL2016_LR1	113509663	113509663	59263139	16070116	38176408	3234876	77039649	3364667	31652210	66.06	15826105.0	38519824.5	1682333.5
G5R2_MAIN_12SEP2016_LR1	109272580	109272580	80299626	8202596	20770358	1381612	142118310	1774628	13943090	34.97	6971545.0	71059155.0	887314.0
G5R2_MAIN_15MAY2017_LR1	85395558	85395558	19709944	3198157	62487457	346160	15633831	937269	22156468	90.85	11078234.0	7816915.5	468634.5
G5R2_MAIN_17JUL2017_LR1	67374422	67374422	32313520	5055435	30005467	405890	52473088	1033138	10309034	61.06	5154517.0	26236544.0	516569.0
G5R2_MAIN_18SEP2017_LR1	66866991	66866991	58198417	386732	8281842	50205	110740020	353134	5203270	17.19	2601635.0	55370010.0	176567.0
G5R2_MAIN_26JUN2017_LR1	56520663	56520663	11851962	1522474	43146227	130176	11662517	398489	11382566	89.68	5691283.0	5831258.5	199244.5
G5R2_MAIN_28AUG2017_LR1	68893725	68893725	54188476	1500228	13205021	150284	99976543	617764	7482077	27.44	3741038.5	49988271.5	308882.0
G5R2_MAIN_31MAY2016_LR1	106633426	106633426	32849991	9206466	64576969	1596695	33051822	2097361	27357409	84.5	13678704.5	16525911.0	1048680.5
G5R2_NF_05JUN2017_LR1	60888870	60888870	18833923	1088759	40966188	183039	16381707	529194	20390867	86.55	10195433.5	8190853.5	264597.0
G5R2_NF_07AUG2017_LR1	75299068	75299068	54236941	2899768	18162359	368662	96711360	935741	10089457	35.78	5044728.5	48355680.0	467870.5
G5R2_NF_12JUL2016_LR1	113627260	113627260	55284023	14370678	43972559	2159587	77418678	2727926	26102268	65.93	13051134.0	38709339.0	1363963.0
G5R2_NF_12SEP2016_LR2	113590638	113590638	79643328	11381900	22565410	1929209	139017053	2013213	14397972	38.81	7198986.0	69508526.5	1006606.5
G5R2_NF_15MAY2017_LR1	72944538	72944538	14027123	3537931	55379484	302147	10923818	878491	15647643	92.51	7823821.5	5461909.0	439245.5
G5R2_NF_17JUL2017_LR1	78129983	78129983	35097863	7146644	35885476	872481	48534145	1899280	18017339	68.94	9008669.5	24267072.5	949640.0
G5R2_NF_26JUN2017_LR1	76909290	76909290	29201839	6337493	41369958	905084	34693162	1452200	20448148	77.45	10224074.0	17346581.0	726100.0
G5R2_NF_28AUG2017_LR1	75232644	75232644	51728316	4852050	18652278	415675	92014426	1335054	9275802	38.85	4637901.0	46007213.0	667527.0
G5R3_MAIN_05JUN2017_LR1	85114495	85114495	17698980	3410921	64004594	336199	14120941	894026	19710595	91.7	9855297.5	7060470.5	447013.0
G5R3_MAIN_07AUG2017_LR1	111090030	111090030	73688008	7353214	30048808	646776	129376470	1838877	14867117	41.77	7433558.5	64688235.0	919438.5
G5R3_MAIN_12JUL2016_LR1	128747701	128747701	25740419	10298692	92708590	463170	33410584	1609813	15534101	87.02	7767050.5	16705292.0	804906.5
G5R3_MAIN_15MAY2017_LR1	94264645	94264645	21977372	3568855	68718418	380470	16696332	1021897	25475575	91.14	12737787.5	8348166.0	510948.5
G5R3_MAIN_17JUL2017_LR1	97163936	97163936	45933786	16529119	34701031	1508552	68570271	3350007	16930190	64.71	8465095.0	34285135.5	1675003.5
G5R3_MAIN_18SEP2017_LR1	97446754	97446754	91694317	452701	5299736	14855	179053847	357629	3947448	8.13	1973724.0	89526923.5	178814.5
G5R3_MAIN_26JUN2017_LR1	90107312	90107312	33431598	14627838	42047876	1677641	38990293	2878104	21639517	78.36	10819758.5	19495146.5	1439052.0
G5R3_MAIN_28AUG2017_LR1	81316439	81316439	61458810	4364594	15493035	516291	112774041	1104292	8006705	30.66	4003352.5	56387020.5	552146.0
G5R3_NF_05JUN2017_LR1	77572715	77572715	15675160	1839055	60058500	143329	13262031	466403	17335228	91.45	8667614.0	6631015.5	233201.5
G5R3_NF_07AUG2017_LR1	92086416	92086416	55928935	3097060	33060421	350612	95813140	1020719	14322787	47.98	7161393.5	47906570.0	510359.5
G5R3_NF_12SEP2016_LR2	118345956	118345956	85331798	2653095	30361063	529938	150730011	985672	17888037	36.32	8944018.5	75365005.5	492836.0
G5R3_NF_15MAY2017_LR1	88487127	88487127	21616831	2559413	64310883	307664	15451724	928204	26238406	91.27	13119203.0	7725862.0	464102.0
G5R3_NF_17JUL2017_LR1	79280985	79280985	34949209	16016337	28315439	1517913	48525057	3185691	15151844	69.4	7575922.0	24262528.5	1592845.5
G5R3_NF_18SEP2017_LR1	69573103	69573103	59387337	2701365	7484401	249948	113813662	629052	3832064	18.21	1916032.0	56906831.0	314526.0
G5R3_NF_26JUN2017_LR1	81616996	81616996	22310547	10423234	48883215	961673	22373007	2200612	18124129	86.29	9062064.5	11186503.5	1100306.0
G5R3_NF_28AUG2017_LR1	81517564	81517564	48694841	8460759	24361964	810382	81544234	2062090	12162594	49.98	6081297.0	40772117.0	1031045.0
G5R3_NF_31MAY2016_LR2	129119610	129119610	54825584	24496084	49797942	4204654	58474483	4644612	38122765	77.36	19061382.5	29237241.5	2322306.0
G5R4_MAIN_05JUN2017_LR1	73643389	73643389	16692868	3090066	53860455	366995	12874886	836407	18940453	91.26	9470226.5	6437443.0	418203.5
G5R4_MAIN_07AUG2017_LR1	76465603	76465603	52435810	7152488	16877305	651622	93499584	1491318	8577474	38.86	4288737.0	46749792.0	745659.0
G5R4_MAIN_12JUL2016_LR1	122027663	122027663	47458452	21528831	53040380	3072161	55671587	3656146	29444849	77.19	14722424.5	27835793.5	1828073.0
G5R4_MAIN_12SEP2016_LR1	110029999	110029999	96378436	3378209	10273354	687564	182873776	790572	7717396	16.9	3858698.0	91436888.0	395286.0
G5R4_MAIN_15MAY2017_LR1	69223048	69223048	15511122	2968687	50743239	255770	12570815	857629	17082260	90.92	8541130.0	6285407.5	428814.5
G5R4_MAIN_17JUL2017_LR1	61916532	61916532	30648094	3898153	27370285	351892	49544780	946367	10101257	59.99	5050628.5	24772390.0	473183.5
G5R4_MAIN_18SEP2017_LR1	104017848	104017848	92071056	2073842	9872950	138808	177279871	714656	5869969	14.78	2934984.5	88639935.5	357328.0
G5R4_MAIN_26JUN2017_LR1	63948796	63948796	22745491	13982358	27220947	1370475	27361243	2457183	12931606	78.61	6465803.0	13680621.5	1228591.5
G5R4_MAIN_28AUG2017_LR1	101697708	101697708	89656477	2395190	9646041	204684	171778941	751596	6373049	15.54	3186524.5	85889470.5	375798.0
G5R4_MAIN_31MAY2016_LR1	118241474	118241474	50834101	19931527	47475846	4275444	55615834	3809215	33692265	76.48	16846132.5	27807917.0	1904607.5
G5R4_NF_05JUN2017_LR1	74164787	74164787	30740227	3612364	39812196	278543	48028782	829957	12064629	67.62	6032314.5	24014391.0	414978.5
G5R4_NF_07AUG2017_LR1	62849301	62849301	35775516	2505791	24567994	308321	59348635	756274	10829481	52.78	5414740.5	29674317.5	378137.0
G5R4_NF_12SEP2016_LR1	9177620	9177620	6579611	199879	2398130	56135	11244656	107189	1695107	38.74	847553.5	5622328.0	53594.5
G5R4_NF_15MAY2017_LR1	65317661	65317661	16245571	6222689	42849401	615704	14898931	1464264	14896539	88.6	7448269.5	7449465.5	732132.0
G5R4_NF_17JUL2017_LR1	72346344	72346344	36626028	10526467	25193849	1243000	55019115	2235736	13511205	61.98	6755602.5	27509557.5	1117868.0
G5R4_NF_18SEP2017_LR1	74066759	74066759	63852531	2155512	8058716	196633	122282894	593188	4435714	17.45	2217857.0	61141447.0	296594.0
G5R4_NF_26JUN2017_LR1	73905316	73905316	24757780	11127801	38019735	1408807	26339335	2155383	18203228	82.18	9101614.0	13169667.5	1077691.5
G5R4_NF_28AUG2017_LR1	62512337	62512337	48453837	1602180	12456320	130612	88945770	645641	7055039	28.86	3527519.5	44472885.0	322820.5
